Vivado Simulator 2019.2
Time resolution is 1 ps
a = 00000000, b = 00000000, op = 000000, out = 00000000                   0
a = 00000110, b = 11101001, op = 100100, out = 00000000                   3
a = 10000011, b = 01110010, op = 100101, out = 11110011                   9
a = 11110110, b = 11111100, op = 100000, out = 11110010                  15
a = 10010001, b = 01101111, op = 100010, out = 00100010                  21
a = 00001001, b = 00001010, op = 100111, out = 11110100                  27
a = 10011011, b = 01101011, op = 000011, out = 11111111                  33
a = 00010111, b = 00000110, op = 100101, out = 00010111                  39
a = 10100111, b = 01100111, op = 100110, out = 11000000                  45
a = 00101111, b = 11110110, op = 100101, out = 11111111                  51
a = 10100011, b = 10001100, op = 100100, out = 10000000                  57
a = 00101011, b = 11110010, op = 100101, out = 11111011                  63
a = 11001000, b = 10100101, op = 000010, out = 00000000                  69
a = 00101001, b = 00101010, op = 100110, out = 00000011                  75
a = 11000100, b = 10010100, op = 000010, out = 00000000                  81
a = 00110111, b = 00111101, op = 100110, out = 00001010                  87
a = 11000000, b = 10010000, op = 100111, out = 00101111                  93
a = 01001010, b = 00111001, op = 100000, out = 10000011                  99
a = 10101111, b = 10011110, op = 100000, out = 01001101                 105
a = 01000110, b = 00101001, op = 000010, out = 00000000                 111
a = 11001011, b = 10101000, op = 100111, out = 00010100                 117
a = 01000010, b = 00110111, op = 000010, out = 00000000                 123
a = 11000111, b = 10101111, op = 100101, out = 11101111                 129
a = 01100000, b = 00110011, op = 100111, out = 10001100                 135
a = 11110111, b = 10101011, op = 100100, out = 10100011                 141
a = 01011100, b = 00101111, op = 100101, out = 01111111                 147
a = 00000101, b = 10111001, op = 100100, out = 00000001                 153
a = 01011000, b = 01001001, op = 100101, out = 01011001                 159
a = 11110100, b = 11010001, op = 100110, out = 00100101                 165
a = 01100010, b = 01101110, op = 111111, out = 00000000                 171
a = 11110000, b = 11001101, op = 100110, out = 00111101                 177
a = 01111010, b = 01101010, op = 000011, out = 00000000                 183
a = 11101100, b = 10111101, op = 100110, out = 01010001                 189
a = 01110110, b = 01100110, op = 000011, out = 00000000                 195
a = 11111010, b = 11100010, op = 100100, out = 11100010                 201
a = 01110010, b = 01100010, op = 000011, out = 00000000                 207
a = 00001111, b = 11101100, op = 100010, out = 00100011                 213
a = 01101110, b = 01100011, op = 100110, out = 00001101                 219
a = 00100111, b = 11101000, op = 100010, out = 00111111                 225
a = 10011001, b = 01011111, op = 000010, out = 00000000                 231
a = 00100011, b = 11110110, op = 100010, out = 00101101                 237
a = 10001000, b = 01110010, op = 100100, out = 00000000                 243
a = 00110001, b = 00000010, op = 111111, out = 00000000                 249
a = 10011011, b = 10011001, op = 000010, out = 00000000                 255
a = 00101101, b = 11111110, op = 111111, out = 00000000                 261
a = 10100101, b = 10100111, op = 100010, out = 11111110                 267
a = 00011101, b = 11111010, op = 000011, out = 00000000                 273
a = 10110011, b = 10010110, op = 100010, out = 00011101                 279
a = 00011001, b = 00011111, op = 100110, out = 00000110                 285
a = 10101111, b = 10010010, op = 100010, out = 00011101                 291
a = 00111110, b = 00001110, op = 100000, out = 01001100                 297
a = 10011111, b = 10001110, op = 000011, out = 11111111                 303
a = 01001000, b = 00011000, op = 100111, out = 10100111                 309
a = 10110111, b = 10110011, op = 000011, out = 11111111                 315
a = 01100000, b = 00010100, op = 100101, out = 01110100                 321
a = 11011100, b = 10100011, op = 100100, out = 10000000                 327
a = 01010000, b = 00100010, op = 100010, out = 00101110                 333
a = 11011000, b = 10111011, op = 100000, out = 10010011                 339
a = 01011110, b = 00111011, op = 100010, out = 00100011                 345
a = 11100010, b = 11000101, op = 100111, out = 00011000                 351
a = 01011010, b = 01000001, op = 111111, out = 00000000                 357
a = 11010010, b = 11010011, op = 100101, out = 11010011                 363
a = 01101101, b = 00111101, op = 100110, out = 01010000                 369
a = 11100000, b = 11001111, op = 100010, out = 00010001                 375
a = 01011100, b = 01001011, op = 111111, out = 00000000                 381
a = 11011100, b = 10111111, op = 100010, out = 00011101                 387
a = 01101010, b = 01010101, op = 000011, out = 00000000                 393
a = 11101010, b = 11010010, op = 100000, out = 10111100                 399
a = 10010001, b = 01010001, op = 100111, out = 00101110                 405
a = 00001101, b = 11100000, op = 100010, out = 00101101                 411
a = 10001101, b = 01000001, op = 100111, out = 00110010                 417
a = 00011011, b = 11011100, op = 100010, out = 00111111                 423
a = 10001001, b = 01101011, op = 100101, out = 11101011                 429
a = 00010111, b = 11110100, op = 100010, out = 00100011                 435
a = 10100001, b = 01111110, op = 100101, out = 11111111                 441
a = 00100001, b = 11110010, op = 100110, out = 11010011                 447
a = 10011101, b = 01111010, op = 100101, out = 11111111                 453
a = 00101111, b = 00000000, op = 100110, out = 00101111                 459
a = 10011001, b = 10001001, op = 100101, out = 10011001                 465
a = 00011111, b = 00010011, op = 100100, out = 00010011                 471
a = 10010101, b = 10001010, op = 100010, out = 00001011                 477
a = 00110010, b = 00001111, op = 000010, out = 00000000                 483
a = 10110001, b = 10010100, op = 000011, out = 11111111                 489
a = 01001010, b = 11111110, op = 100111, out = 00000001                 495
a = 10111101, b = 10010000, op = 100110, out = 00101101                 501
a = 01011000, b = 00001100, op = 100111, out = 10100011                 507
a = 10111001, b = 11000000, op = 100100, out = 10000000                 513
a = 01010100, b = 00100101, op = 100111, out = 10001010                 519
a = 11001100, b = 11000001, op = 000010, out = 00000000                 525
a = 01000100, b = 00101111, op = 100010, out = 00010101                 531
a = 11011010, b = 10111101, op = 000010, out = 00000000                 537
a = 01001110, b = 00111101, op = 000011, out = 00000000                 543
