Vivado Simulator 2019.2
Time resolution is 1 ps
a = 00000000, b = 00000000, op = 000000, out = xxxxxxxx                   0
a = 11011101, b = 10100100, op = 100010, out = xxxxxxxx                   4
Error en operacion 100010 en tiempo                    8 ns
a = 11011101, b = 10100100, op = 100010, out = 0xxxxxx0                   8
Error en operacion 100010 en tiempo                    8 ns
a = 11011101, b = 10100100, op = 100010, out = 000xxx00                   8
Error en operacion 100010 en tiempo                    8 ns
a = 11011101, b = 10100100, op = 100010, out = 00000000                   8
Error en operacion 100010 en tiempo                   12 ns
a = 11011101, b = 10100100, op = 100010, out = 00010010                  12
Error en operacion 100010 en tiempo                   12 ns
a = 11011101, b = 10100100, op = 100010, out = 00110010                  12
Error en operacion 100010 en tiempo                   12 ns
a = 11011101, b = 10100100, op = 100010, out = 00111010                  12
Error en operacion 100010 en tiempo                   12 ns
a = 11011101, b = 10100100, op = 100010, out = 10111010                  12
a = 11101111, b = 10110000, op = 000011, out = 10111010                  12
Error en operacion 000011 en tiempo                   12 ns
a = 11101111, b = 10110000, op = 000011, out = 10111011                  12
Error en operacion 000011 en tiempo                   12 ns
a = 11101111, b = 10110000, op = 000011, out = 10101011                  12
Error en operacion 000011 en tiempo                   12 ns
a = 11101111, b = 10110000, op = 000011, out = 10111011                  12
Error en operacion 000011 en tiempo                   12 ns
a = 11101111, b = 10110000, op = 000011, out = 10011011                  12
Error en operacion 000011 en tiempo                   12 ns
a = 11101111, b = 10110000, op = 000011, out = 10111001                  12
Error en operacion 000011 en tiempo                   12 ns
a = 11101111, b = 10110000, op = 000011, out = 10111101                  12
Error en operacion 000011 en tiempo                   12 ns
a = 11101111, b = 10110000, op = 000011, out = 10111001                  12
Error en operacion 000011 en tiempo                   12 ns
a = 11101111, b = 10110000, op = 000011, out = 11111001                  12
Error en operacion 000011 en tiempo                   12 ns
a = 11101111, b = 10110000, op = 000011, out = 00111001                  12
Error en operacion 000011 en tiempo                   12 ns
a = 11101111, b = 10110000, op = 000011, out = 10111001                  12
Error en operacion 000011 en tiempo                   12 ns
a = 11101111, b = 10110000, op = 000011, out = 00111001                  12
Error en operacion 000011 en tiempo                   13 ns
a = 11101111, b = 10110000, op = 000011, out = 00110001                  13
Error en operacion 000011 en tiempo                   13 ns
a = 11101111, b = 10110000, op = 000011, out = 00111001                  13
Error en operacion 000011 en tiempo                   20 ns
a = 11101111, b = 10110000, op = 000011, out = 00011001                  20
Error en operacion 000011 en tiempo                   20 ns
a = 11101111, b = 10110000, op = 000011, out = 00011000                  20
Error en operacion 000011 en tiempo                   20 ns
a = 11101111, b = 10110000, op = 000011, out = 01011000                  20
Error en operacion 000011 en tiempo                   20 ns
a = 11101111, b = 10110000, op = 000011, out = 00000000                  20
Error en operacion 000011 en tiempo                   20 ns
a = 11101111, b = 10110000, op = 000011, out = 00000001                  20
Error en operacion 000011 en tiempo                   20 ns
a = 11101111, b = 10110000, op = 000011, out = 00000111                  20
a = 11011011, b = 10001111, op = 100000, out = 00000111                  20
Error en operacion 100000 en tiempo                   20 ns
a = 11011011, b = 10001111, op = 100000, out = 01011111                  20
Error en operacion 100000 en tiempo                   20 ns
a = 11011011, b = 10001111, op = 100000, out = 11011111                  20
Error en operacion 100000 en tiempo                   20 ns
a = 11011011, b = 10001111, op = 100000, out = 11111111                  20
Error en operacion 100000 en tiempo                   27 ns
a = 11011011, b = 10001111, op = 100000, out = 10011111                  27
Error en operacion 100000 en tiempo                   28 ns
a = 11011011, b = 10001111, op = 100000, out = 10011101                  28
Error en operacion 100000 en tiempo                   28 ns
a = 11011011, b = 10001111, op = 100000, out = 10000001                  28
Error en operacion 100000 en tiempo                   28 ns
a = 11011011, b = 10001111, op = 100000, out = 10000101                  28
a = 11011011, b = 11001010, op = 000011, out = 10000101                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 11011111                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 01011111                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 01011110                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 01010100                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 01000100                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 01010100                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 01000100                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 01100110                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 01000110                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 01100100                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 01100000                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 01100100                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 00100100                  28
Error en operacion 000011 en tiempo                   28 ns
a = 11011011, b = 11001010, op = 000011, out = 11100100                  28
Error en operacion 000011 en tiempo                   29 ns
a = 11011011, b = 11001010, op = 000011, out = 11110100                  29
Error en operacion 000011 en tiempo                   29 ns
a = 11011011, b = 11001010, op = 000011, out = 11100100                  29
Error en operacion 000011 en tiempo                   29 ns
a = 11011011, b = 11001010, op = 000011, out = 11100110                  29
Error en operacion 000011 en tiempo                   29 ns
a = 11011011, b = 11001010, op = 000011, out = 11101110                  29
Error en operacion 000011 en tiempo                   29 ns
a = 11011011, b = 11001010, op = 000011, out = 11101010                  29
Error en operacion 000011 en tiempo                   29 ns
a = 11011011, b = 11001010, op = 000011, out = 01101010                  29
Error en operacion 000011 en tiempo                   36 ns
a = 11011011, b = 11001010, op = 000011, out = 00000000                  36
Error en operacion 000011 en tiempo                   36 ns
a = 11011011, b = 11001010, op = 000011, out = 00000001                  36
a = 11100111, b = 10111000, op = 100110, out = 00000001                  36
Error en operacion 100110 en tiempo                   36 ns
a = 11100111, b = 10111000, op = 100110, out = 00000011                  36
Error en operacion 100110 en tiempo                   36 ns
a = 11100111, b = 10111000, op = 100110, out = 00011111                  36
Error en operacion 100110 en tiempo                   36 ns
a = 11100111, b = 10111000, op = 100110, out = 10011111                  36
Error en operacion 100110 en tiempo                   36 ns
a = 11100111, b = 10111000, op = 100110, out = 11011111                  36
Error en operacion 100110 en tiempo                   36 ns
a = 11100111, b = 10111000, op = 100110, out = 11111111                  36
Error en operacion 100110 en tiempo                   43 ns
a = 11100111, b = 10111000, op = 100110, out = 10011111                  43
Error en operacion 100110 en tiempo                   44 ns
a = 11100111, b = 10111000, op = 100110, out = 10011101                  44
Error en operacion 100110 en tiempo                   44 ns
a = 11100111, b = 10111000, op = 100110, out = 00011101                  44
Error en operacion 100110 en tiempo                   44 ns
